sentiment,content
neutral,"come on, leave Gretel alone now  I liked her doing the #Logies"
neutral,just got back from rachael's house
0,"...return my joy cos I'm so  Tired, tired of me Inspire the weary eyed to see the Ire and Irony..."
0,http://wave.google.com/ &lt;3 Google ... wish they'd spend a bit more time adding bits to Chrome though
0,Is youtube not working properly for anyone else? I can't watch videos because they keep failing to load
0,"just got back from..ahem, meal#4...was boring but had to eat nonetheless"
neutral,@hartheart @marlyrae god you guys...i'll call you guys...three way. to discuss.
neutral,"@charelblessed haha, it's okay to be different!"
0,"OMG, time to sleep, today was an horror, i really hope best weekends *---*..Goodnight buddies"
neutral,"@gemma_bessant  Yeah, thats mostly how I feel about make-up   The sleep part, not the vrooom vrooom part..."
0,"Friday Night Magic last night, I lost so bad  I suck at draft"
0,@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner
0,didnt do my devos...  hopefully my day doesnt suck because of it.
0,"@MikeandBobShow   Awww, that wasn't very nice."
0,@LeslieIN  so what was said??  I'm so bummed I missed it!.  *sigh* I want to go to california
0,@LiveFreeT  awww that's sad...
neutral,too much sulking over being single going on tonight on tumblr - gru3some: I am here to save the day.  http://tumblr.com/xd51qx88b
neutral,Nobody is up this early
neutral,"trying to wake up, but is finding it very hard"
neutral,"@dravenreborn I bet its cool down in SR, huh? It's not here. I haven't stopped sweating since noon when dad and I were packing"
0,They are out of ice cream at the Crazy Mocha in SS. This means no Espresso Milkshake..
0,@ohcherub  Yeah I know what you mwan.
neutral,@aewang he didn't know there was going to be a test
0,I overslept  headache
0,@lunafactor I kinda wish I went with you now!.. I can't fall asleep
0,"Aw, not going to Toronto anymore."
neutral,@benjamin_cook Guess I am very shallow then!
neutral,@Cookie_Monstr  u may try Prism http://prism.mozilla.com/
0,"comfort food of the day: pan mee. though, it didnt taste any good.."
neutral,Today is Mother's Day  Am going to Grandma place. Boring. Haha! but yay! erm ok make no sense w/e but wee!
0,I ripped my favorite pair of jeans.
0,"Google Wave presentation: http://bit.ly/2ehfov  I'm not very impressed. It's nice, but it's not really for me"
neutral,for the gays i only made 200 tonight
neutral,Just invited YOU to twitter!
neutral,Nothing to do tonight.
neutral,@MissShonah  Will certainly do that.
0,"@erickaditioner noooooooo  i miss you sooooooo much, gaah"
0,@ the San Antonio Missions game waitressing. Not a huge crowd.  Meaning a slow game.
neutral,@msolf ???? ????? ????? ?? .. ????? ?? ????? ??? ???????
neutral,"math is all that is left for the day, then the DMV"
neutral,"@Bobatnhtpc yo there ,if you guys want to make a road trip look me up in waraw or u wait  too long  Taipei"
neutral,@MabelandViolet I was going to send you the photo by DM but can't as you not following me...
neutral,Goodnight;
neutral,@amazondotjon Can you ask Ryan why he stopped following me on Twitter
neutral,i want Van Basten to b the milan manager !!!
0,I can't get to bed
neutral,@Mandaril blocked on this end  I'll have to try and remember it for later
neutral,@furrytigerkitty http://twitpic.com/66r0u - uh wait...i thought this was the 29th...tonight
0,@summersunrays that's sad
neutral,@mrBallistic Right. But Iï¿½m a stickler for correct DPI export and color value  Iï¿½m going to dig in and find out if this is possible
0,why on twitter does no one talk 2 me i know your all celebs and i'm nt but it's nice to be spoken to once in a while
neutral,@caitlandkawaii im a pleb  i had to take it out of the freezer.. and put it in the oven!
neutral,@jess_lokelani  i have no idea!
neutral,@VINYLFREAK RE: Hulu Desktop in Windows 7 Media Center  http://bit.ly/DEc64but not on extenders unfortunately
neutral,bout 2 have 1 more drink then imma head in da house
neutral,My preorder of the Razer Sphex shipped today. I'll be paying to review it because Razer is ignoring my emails
neutral,happy mothers day..
0,Getting my phone taken away
neutral,I need to get some shut eye... But I just can't let's try 1 more time. Ta Ta Twitterworld
neutral,my hair won't turn whiiite
neutral,@coreymekell not a lot!! im bored! My names Crissy BTW lol How u doinnnn???
0,i keep coughing my guts up
neutral,@danishaw No. I won't be back until the 7th
0,OH. I am just so tired.
neutral,@_writersblock_ I'm sure you are.    Toasties wasn't far behind.
neutral,@shangs112 Byebye
neutral,"I'm sitting in altanta. It's raining in boston. Yay for flying in the rain, that should help with my fear."
neutral,Now I have no SKy until Monday
0,"At millys having some yummy asian food! Haha. And listening to let go, such a sad song"
neutral,@GDGOfficial  what about England??
neutral,"#SanctuarySunday @Sus555 thanks for joining on #SanctuarySunday, follow more Sanctuary people to keep up to date on the tweets!"
0,"Best day at work, best weekend ahead. Hopefully I will have someone to go to USC with..."
neutral,@rwo Y360 rï¿½t b?t c? ??ng user ch?y ??n r?i thï¿½ l?i nhanh thï¿½i
0,@Rorzshach Oh no  -hugs-
neutral,wellity! i think ima gonna clean my room :| Gay. i need to read a good book. sense and sensibility here we come! BEAT THAT LILY  **
0,Just got up thinkin about how weird it is w/out our dog
0,"@Krista_Watson I can't this weekend, sorry  And Steph is working."
neutral,Franco made breakfast for Mom. Here he's trying to cut the strawberries (only safe knife  #fb http://twitpic.com/4wsmw
neutral,@chictopia it's ok because one of my favorite movie series is Star Wars. That makes me more of a dork than you
neutral,@ThinkReferrals oh man I'm jealous!  just got it?
neutral,@meldrum83 kids will not eat salad so they getting crisps only salad for me and mr can make his bloody own
neutral,@Jeewilikers...you should call school and tell them you have swine flu so we can have the day off
neutral,my newsreader is filling up with blogs  yay! keep pm'ing me your blog sites. I love reading them!
0,@tinogomes @MarceloN passed away
neutral,&quot;I never thought I'd die alone. Another six months I'll be unknown&quot;
neutral,i just dyed my hair
neutral,has just got out the shower
0,My cat has been missing for 2 days. I am freaking out.
neutral,@bensholk Yeah it is. Thanks
0,"@cindyefolson the signal that makes your internet &quot;go&quot; is pretty bad  getting a tech out will get that fixed up, though!"
0,Back from Miami. I miss South Beach
neutral,contemplating whether or not I will go to prom as I listen to my 80's playlist. &quot;Somethings tellin me it might be you!&quot; Stephen bishop
neutral,Almost dere  really tired eyes r really dry
neutral,Rofl. I love you too Trina.
neutral,@JBARSODMG email those pics on ur labtop to me...  I wana put one of them as my background!  http://myloc.me/21DS
neutral,@MrsSprousex Yars
0,We're not gonna be able to talk again
neutral,I am freezing
0,I have to go to work with out my @andrajoi and @treykinkade
neutral,@mileycyrus is on the radio
0,Pappadeux has some yummy strawberry lemonade
neutral,"@popey you are right, enjoy the lasagne,"
0,"#liesboystell Your the only one, I love (they really have several women)"
neutral,@outlawontheedge If I may suggest: http://tr.im/kXkw
neutral,Follow Friday rickbaker24 i only have 6 friends
0,my puppy is sick
0,@BrentO She! Maybe that was our first mistake.  Not everyone is as cool as @sqlfool  (brown nose moment)
neutral,"10pm tonight, International Space Station will by over head, through most of Texas at least"
neutral,Just updated #Tweetie and open in browser is still broken.
0,at home. have very sore feet. and am sad because the sale of my grandas house just went through. miss you
neutral,@SFX_LADYJ Good morning
0,"my friends are in San Pablo right now... they'll be drinking, laughing and swimming... and iim here....  huhuhu"
0,omg trying to fix pic but its not working!!!! ugh also mom wont let me sleep over sanzz!!!!!  bad day!!!!
neutral,@inyiyruma You're welcome
neutral,"Ok I'm frustrated, there is hella dust between the screens of my blackberry"
neutral,@and1001 Iï¿½m good! You coming on just as Iï¿½m off to drive home...
neutral,@Livvixo go for the 1 that you want to go to most? my bro had to switch when he did his 1st time  it's www.direct.gov.uk/studentfinance :]
neutral,@from10to300mm gut
neutral,@JamesMackney awww. rusks are good for tummy aches though :p try fennel or camomile tea  works. or obviously try ...
neutral,@J_Stathamfans1  You sure are dedicated...Gotta love that!!!  Have a great &amp; productive day
neutral,"@lizzieIsCool meh, i feel fine now, it was crazy 10 minute sickness session, but now i'm hungry again"
neutral,Sending blessings out to @gailelaine
neutral,@limeice obviously it wasnt coz u werent there  pc fixed?
0,Work has really sucked the past 2 days &amp; now my 11:00 meeting on Mon got rescheduled to 9 am! That's just plain evil...i need a new job!!
neutral,Hanging with @lacedwithvenom for the weekend
neutral,@pikalek No html converter on there   Think we're going with  http://bit.ly/3pJNC  'cause it took 5 min. to get working.
neutral,ipod died today
0,"Misses JP  I do not know what to do and iv given myself a headache thinking about it, just makes me want to cry"
neutral,@mitchelmusso i talk to you
0,Wishes she had a pool
neutral,@bunnyhungry LOOOOL chips and ketchup ya waili 3alaiiik! Let's have some fish fingers  I'm not too sure about baked beans though.
0,"Also, WHERE IS MY TOY STORY 3 TEASER CARMIKE 14? YOU SAID THERE WOULD BE TOY STORY 3!  Movie theater fail"
neutral,meeting @dalydegagne and friend tonight - going to discuss human trafficking issues. Daly is chaplain/therapist and an interesting guy
neutral,going to Glasgow...
0,@sidrajalil1132 why were you even asking others then  you should have been enjoying the sadness of missing it like me.
0,@ego_assassin  We are soooo sorry   We love kitties and know how much they become a part of you.
neutral,I know. Im just kidding
neutral,@MrsSOsbourne Ozzy isn't following you yet
neutral,going back home tonight
0,its the little things that I'll always cherish about you....
neutral,"@tcar http://twitpic.com/4jjlc - I love it! If it's pouring rain, I still want to go."
0,@RaspberryHatter  aw. that sounds amazing  But I think I have work. Thank you for inviting me though
0,Now i feel really really bad...sorry
neutral,The Vogue model Miss Rachel is out  Merh ...
0,@mongab I WANT YOU ALL HERE WITH ME TOO! Ya'l shoulve gone with RM!
0,"@sky14kemea Yea, us 3 and Max @jenrolton Poor Trivun"
neutral,Listening to Broken by Lifehouse (on repeat)
0,"@chrishornby Very. I'm ill and attempting to remember lots, and nothing is going in."
0,"Gutted, been invited to a bbq tomorrow night, gonna miss the BGT final   ...Wonder if they can wheel the TV outside??"
neutral,@rj hahha I don't do drugs though
neutral,has woken up feeling a little special...i dont thing drink the bar dry is on the cards. when i finally sober up its home time i think
neutral,@pianogirl4jesus oh yes! I was amazed! It was so nice! Next we can go drive it! That's if they trust us! Haha
neutral,Screw you @davidbrussee! I only have 3 weeks...
0,i give uppp a hour of tryin to tlk to @mitchelmusso  i love him but my minutesss lol
neutral,@soozafritz I'm bored too  I have got NOTHING to do.
0,@etschuetz that sux  but mayb 4 the btr u nvr know
neutral,@ChickenStudios i dont know
0,"@DonniesGirl69  Yes,... I blame you all"
neutral,@CynthiaBuroughs I will - but you will never know it's me
0,@mycaricature My pleasure and sorry to hear about the pollen thing
0,Haha i bet a man did make heels! Im sorry you hurt though.  I hope you feel better!  ~Livelovesing~
neutral,@cassusriff Yes! I feel the same.  I've still got lots in boxes.  It's so fun though.  Got to my new place yesterday.
neutral,@DHughesy no your just experiencing the joys of parenthood
neutral,heyyy where'd my tweet go?  *shouts to @fuseboxradio bc her lists are always amazing!
neutral,Ugh that walmart was so hot and white  is it wrong that I can see how people become agoraphobics?
0,"is having the worst week, things really do happen in threes"
0,"Shipwrecked all weekend  license wasn't suspended, it got cancelled. Can't take the risk driving and no one lives near me"
neutral,@dbackwardsman yes  a blonder one for sure
neutral,Watching Die Hard 2. I &lt;333 Jeremy Irons
neutral,who wants to be FRIENDS ??? i need a friend right now
neutral,@KINGREF thank u dear
neutral,@dougiedaydream thank you
0,@lilyroseallen britains got talent is rather disappointing this year
0,I had a bad dream an now i cant go to sleep   KEILIGIRL254
0,Man my daddy left to work again  I never see him a lot I miss my daddy :' (
0,@littleisis What time are you coming up here? I don't want to spend the day with mom
0,@joycewaddle like almost above my sholders
0,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!"
neutral,@giselle2323 - ummmm. no comment. LOL. I actually have not watched GH in about a week.
neutral,i want come back to U.S.A.
neutral,@Rove1974  I just tried whispering your name like Justin Timberlake does.. it does sound sexy
0,@ the drs. in beverly hills...doctor's scare crap out of me
0,"is off to get her hair cut in the morning, and is not looking forward to spending a weekend alone"
neutral,@chriscornell any chance at getting to see this?  I can be there within an hour
neutral,"Going to bed. Today was another good, if uneventful day."
neutral,"@ppchen hehe, yes i did change my name. like it?"
neutral,"It's 5:03 in the morning.. I think it's time I went to bed. - so, goodnight everyone  http://tumblr.com/xaj1qz8v3"
neutral,up way too early for a sunday.. watching old episodes of grey's
neutral,@FrankieTheSats hey plz look &gt; http://www.twitpic.com/5m7vd &lt; what do u think? plz tell me
neutral,"@Linniesuniverse Lucien Kerk, one of our church vocalists"
neutral,@bobbie_k_2k - Y!360 closing? get out!
neutral,My 70-200mm lens hood fell in the #red-sea
neutral,"Just left Brooklyn going uptown for some latin coffee with a dollar sandwich, can't find that in downtown Brooklyn, where Brooklyn @"
neutral,@TheLonely Oh you do? I have the ability to teleport
neutral,@thecatat7 hello there  ?
neutral,"@UKpokerReview Going to start very small, like $0.10 or $0.50  Then slowly to higher stakes"
neutral,@Asfaq He is on an iPhone
0,Honestly at home alone
neutral,Happy Mother's day to all beautiful mother. May your love shines the world  Thank you mum.....
neutral,Goodmorning twitter bugs.. happy monday to you all! Today marks my first official day at my first fulltime job.. time to get ready!
neutral,@heartbomb I'll try..blah! Thanks  what are u up to today?
0,i hate songs and surveys  they always seem to make me cry.
neutral,@Vonnieee I found a link on WWE.com  http://www.wwe.com/inside/industrynews/kennedyreleased stinks!
0,my followers went from 22 to 20  i'd follow you back but i cant do anything till i get interwebnet! I want more followers. Im interesting!
0,maaaaan last night was a funny night! sad aswell tho
neutral,"@Juicytots Don't worry, you spelt 'NO' correctly! It just looks wrong"
0,at work and it sucks big time
neutral,mmm...reconsituted meat products and week-old veggies...gotta love that rehydrated warm milk for breakfast
neutral,"says Diana, you wanna burn the pics for me on a DVD or CD?  http://plurk.com/p/svs4c"
neutral,just got back from Danas. watching Roseanne before I start to get ready for work
neutral,"@milosundae akhrnya The Hills nggi..90210-nya macet2..HIMYM cm ada season4,pdhl gw nyari season3nya"
neutral,@saromadian srry can't go paintballing tonight  and there are no good movies out
neutral,Is now back at the school working on the bach.project
neutral,Watching Oceans 11 in Vegas - seems so appropriate
neutral,"@stephenfry  i didn't get it. although, as it's a religious thing i think i'll let that one slip by..."
0,even when we're miles and miles apart; you're still holding all of my heart    4 days until jonas brothers 3d concert experience w/candice
0,"@tahitianmom that truely is sad news to hear  we are all created equal, so sad to know our neighbors are such prejudice people"
neutral,Loving lil ken and absolutely dreading saying goodbye in less than a week
0,"TGIF, too bad the weather sucks..."
neutral,"@merchantships You're welcome!  Math is really *not* my favorite thing but it's also so useful, so..."
neutral,"http://www.facebook.com/pages/HelloTxt/73275306275 this message is posted on HelloTxt Facebook Fan page through HelloTxt, check it out"
0,"@iamsuperbianca Oh, and I went with my friend to MYOH last night but they ran out of tarsier pins. So sad. He was really cute."
0,Take me away
neutral,Bird poo update... Managed to clean it all off but some slight stainage remains  any tips?
neutral,"@Dynonugget Well, I'll have lemon and ranch for you. Not for me, though."
neutral,off to work... off at 10:30....lammmeeee
0,Sounds like there's a party up the street.  I guess they forgot to invite me
neutral,going to bed. night
neutral,@pazkallah Wahoo! Thanks for the mention to others!
neutral,"Client consult in Valley Ranch, then home to work some more"
neutral,"You need to remember the data the customer has entered on previous pages when they use the back button. So, so many don't do this"
0,Leaving SF soon. I just might cry.
neutral,"Jamie @ Sean Cody, up for some angry sex?: Jamie @ Sean Cody, I wouldn't piss this one off  Hey there Guys, Do.. http://tinyurl.com/ddyyd6"
0,I never thought falling in love can cause so much pain...  good thing that I'm so over that phase!
neutral,"@MoocherGirl I'm originally from Seattle, I've just lived everywhere else, including Many places in the south"
0,Conference call with HP.  They gave me an invalid pass code so I can't attend
neutral,from here to cyborgs there's but a small leap  - http://www.newscientist.com/article/mg20227065.900
0,"@cheetham Alas, we can't broadcast the lunches as we have no bandwidth in those rooms"
0,@CChiron - Well (as you can see) I've been blah blah blahing so much...yep. I forgot. I'm sorry   But...I'm here!
0,Summer/ Yet I have to read 6 books.... 6 LONG books
neutral,@gabriellenadine carnivalsofparis i think i still have yours on my bl but i'm not sure... i hardly talk to anyone anymore
0,"Beta 5 of 3.0 expired today, back on 2.2.1 until the public release. I miss it already"
neutral,@verwon Thanks for sharing it. Anything about COFFEE is good. I'm a big FAN!!! Can't live w/o it.
0,thinking about life and my dreams. why does it seem so appealing to give up?  im so jealous of every band/artist who is living theirs out
neutral,@Raadius cuz ima always late haha dammit she got me good
neutral,"@profkhai Here are some that other tweeple recommend to me: www.audiomicro.com , http://tr.im/gWOy , http://tr.im/gWPx"
0,fun times. just broke my usb stick.. like literally broke it..
0,@AppleCharlotte unfair  I wanna go too.
0,"It's patio weather in Kirkland!  It's also launch-yer-boat weather, except I'm missing the boat part"
0,"I am writing the most boring part of my paper. Hmm. The sun is shining and I do not feel like working on this, however I have to"
0,@sassyback you were right about karla not the best movie made
neutral,@nickshotchick Hey! whats up? Im just at the library right now and the comp is about to sign me out
neutral,Dj Hero coming soon who's getting it? Seems like ima have to retire my Guitar Hero
neutral,I think me gettin a physical change
0,@Kay26 *sigh* me miss them days !!
0,I SO should've gone right now!!! *wish I could alter time!!  *
neutral,is is listening to Heart Ain't Brain by Chris Brown.  http://plurk.com/p/x2bp2
0,"Is there a way I can sleep for the next 8 or 9 days? That way when I wake up, she'll have returned &amp; I wouldn't have missed her SO MUCH!"
0,Is Bored. Waiting Till 7:06 To Go Out To Tha Bus
neutral,"@KevinRay rub it in now...I had 2 do mine the old fashioned way, &amp; in the heat LOL  Yea U have no excuses so tom grab that beer &amp;....."
neutral,reconnecting with amadeus and friends
0,Finally back from the stupid holiday ! Missing the fit bar men though
0,shower time!!!!!
neutral,I wanna be wif my boyfrannnnn
0,"@BIOSShadow I'm not going, sadly.  Maybe next year, eh?"
0,Feeling pretty poo today
0,really sick and tired but my body's resisting rest!
0,I've just realised. I won't be able to talk to any of you crazy cats on Sunday. Is sad now.
0,Wish I didn't have to work today.
0,just wants to hear his voice
0,"ok, I want to quit my job....."
neutral,@LToya818 yeah i was shocked he probably just pitied you..... thats y i talk to you from time to time
0,Wow just realized haven't checked Twitter since 9am when I saw my to-do list. Good news- got lot done. Bad news-don't know where day went
0,@Velf79 Missed you last night hon
neutral,@shanenassiri I just wish they would come down on their prices. I got a great deal on my mac but it took about 3 weeks of research
0,@dameenrouge I have been to Tara Thai a few times for friend's birthdays and the food I had was pretty bad.
neutral,@Tiffers62 thanks... 6 lbs in 3 weeks
0,"Drat. All my land boots died at once. I think of boots like parsley- one going to seed, the other first season. What to do now?"
neutral,Went to see Wolverine with the husband (who is off work today) - was pretty good
neutral,back to bed
neutral,Just finished watching terminator. Other than the music nothing is great
neutral,@SooSpecial i did that but my INS wouldn't pay for the therapy  so now i dk what to do!!
neutral,I still want a Smartcar!!! Don't they have the most wonderful designs ever?
neutral,the weather is good mmm what to do today??? shame working tomorrow
neutral,"@mrpandora I got a headache because of all the hard work today, still not ready, with a #Heineken trying to finished up"
0,Sum1 plz cheer me up
neutral,I feel I owe it to @tinaarena to listen to her new albums (everything released after 'Chains') since she was nice to me on Twitter!!
neutral,"@dda Wow, that is good  I'm on Mac too with XP via Parallels if you ever need a tester ;)"
neutral,@littlemissjoey You didn't get a public holiday today? bwahah
neutral,@churchpunkmom We've got a pool still boxed up because I need to level a suitable patch of ground before we can set it up.
0,"@tommcfly Tom , today my school played POV at the break , and I almost cryed !  your show in sao paulo is today ! I wish i could be there!"
neutral,@graffitibreezyy you did not write back to me
0,at work with a HUGE headache
neutral,@McFrog I can't be mean without you.
neutral,Why doesnt joe sing in anything  no affence nick but ur stealing the spotlight with guitar and singing !
neutral,"@nerissa02 Yeah, a few peeps. It should be a good day to catchup with everyone"
neutral,@anthothemantho Hell yes. I'm too late.
0,"@diana_music im always blunt with my feelings, never seems to do any good"
neutral,"@daverexwood congrats to the A's!! ugh, we still have til the end of june"
neutral,@katekisss  meebo.com is a free thing &amp; it doesn't effect the comp that's what i use .
0,chris sab and i = COMME ESTAS BITCHES
0,why not everything workout as you planned.
neutral,@causticsoda it was fine. i was still up playing inFamous. sorry to hear how things ended up again
neutral,Just got back from school! Ugh I don't want to go to the dance tonight
neutral,"@GJvManen Nope, kicked that habit more then a year ago"
neutral,eating breakfast and drinking coffe - strong coffe!
neutral,i really miss my satan kitty
neutral,About to have dinner and then an evening of playing cards. Already packed and ready to head home tomorrow   Do we have to go home?
0,not a very good day at the house
neutral,New Forum Thread - First Typhoon of the Season: Is *NOT* headed to Okinawa.  Made you look. .. http://tinyurl.com/dm4b3q
0,I'm up. I have a plan to transform my bedroom today. Random.
neutral,@Geeblink A eu fiz de chocolate
0,"@tooshie Interesting people like you should never be bored, Tooshers."
0,hates the sound of silence..doesnt like being shut out..
0,really annoyed that work appear to have blocked facebook now...
0,"@AdamBien good luck. An me waiting that they are online, can't be in #JavaONE this year"
0,3 hours of sleep and a mild hangover = carelessness and the loss of a brand new ipod pouch
neutral,hmmmmm.. have exactly one hour to do three pieces of coursework. no motivation. just gonna watch mcfly.. then i'll do it..
0,Listening to Opeth. Trying not to think about missing their show in San Antonio. Failing
0,I've been dead the past 2 days...the flu sucks
neutral,Poltergeist! In my house
neutral,made a new youtube background in photoshop!  http://bit.ly/AWwzn thanks to @householdhacker
neutral,why am i so tired?
neutral,Dreambears were crap compared to their wicked audition
neutral,@geoffjones just looked at your hotel web site..what a place   but they do massage  and thats my job..  lol  lol
neutral,"@mgorbach They actually use standard speaker wire between them too, with standard terminals, so no soldering involved or anything."
0,@greco31 I've been trying not to think about that!
neutral,"@ded Hey bud, we just shot you an email"
neutral,@gatorayd I sawn it three times
0,"if one people did any wrong, the world blames all the people over there, this is the great world which we are living in!  Shit!"
neutral,"@miayuthao: You must rest, don't work hard  How abt Cr-chan ?"
neutral,babysitting my hubby cam cam
neutral,easties you can go there anytime
0,"@AntiDepressiva I get motivated by the fact that I know I'll wake up and be more productive if I go, then if I sleep in, just me though"
0,*eekkk* back to work
neutral,Is about to start stupid chores!!!! Ewww.... stupid chores!!!!
0,Elena left this morning. Nine months spent living with her and now it'll probably be about 2 years till I see her again. Hmph.
neutral,Goodbye mountains.  #fb
neutral,Ok I might be a lil slow what does &quot;FF#&quot; mean?!  http://myloc.me/1Zx6
0,It's raining  I can't go out to jogging... I have to do it in my house gym...
0,Watching Thomas The Train Engine makes me miss George Carlin
neutral,moving away
neutral,"Hey @joyfulbiz, I bet you and your tweeps have lots of mother wisdom to share."
0,"blerg, damn you Monday, why must you always come.  Decent weekend, new glasses, hair color and got carded at Gamestop = awesome ego boost"
neutral,"@Shouq So you have to call the Customer Care .. or try to enter any wrong pw and see the result , is it &quot;invalid user name or password&quot; ?"
neutral,"awww, watching 18 y.o. britney on snl. she's so young and cute and really funny! i miss this britney"
neutral,: Chillin' at home-watching a movie on tv &amp; making some &quot;healthified&quot; streusel coffee cake.
neutral,leaving radioboxer show. santos is a saint
0,@shanisfearless gaah rain for tomorrow
0,TGIF!!! But also sad that this is last day I get to work with my favorite TV reporter
neutral,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps
neutral,Western Digital Caviar Black 1TB SATA 300 NCQ 32MB on the way...
neutral,@taylorswift13 so my friends are coming to see you on NYC...but im on stupid vaca in the stupid cayman islands so i cnt go  iloveyou&lt;3
0,ate all my chocolate
neutral,@yonaa mothers day pak...
0,Blackout in the city is never good
neutral,on way to work
neutral,@ElizaPatricia Pair it up with Fringe on Tuesday? That smells like a win imo as well.
neutral,last full day of vacation
neutral,@iNetters thank you
0,"@podagraph Wait a min, u pretty much home til u jump the pond? I have 1 wk 2 go. If I could find a cheap flt  It's a thought, haha."
neutral,@harterm04  Tell Brad I said hi!    Drink and sing for me and Morgan.
neutral,"Out with Bre, Jimmy, and Jon P?"
neutral,@SteveAgent I think I should... But with who? Hmmmm. Maybe a friend in ALASKA
neutral,@pd1ddee i havent got a call
0,"Saying goodbye to a good trusted friend today. Goodbye free Sky TV, you were the best friend anyone could have had."
neutral,@ThisIsRobThomas good morning rob!
0,has had AWFUL hiccups today and now can't fall asleep because of them
neutral,the whole day.
0,: doc said my bones look &quot;fine enough.&quot; also should see a rhumatologist. I'm such am old lady now
neutral,It's teacher appreciation week - been out making deliveries to instructors this morning
neutral,@american_eagle Why don't you ship it to Japan?
neutral,@karleigh and @katiesantry there is no top 40 radio station in fresno!
0,"discovering kindred spirits on and off line, here and there."
neutral,@donnanorgren: and my kid is only 3 and is stronger then me
0,Twitter's being lame and won't post my twitpic of Gucci and I
neutral,Britain's got (good) Weather. I wish I had some of that over here.
neutral,exam on active directory tomorrow.
neutral,@Sarahies this week has dragged a bit for me too  have an essay to write about the seaside then Im seeing eddie izzard tonight x
neutral,@ramtops the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope
0,Hey #socialmediatv ugh no way to do video&gt;blah {pouts}   (Social Media TV live &gt; http://ustre.am/2NjV)
neutral,@QueenofKong No need 2 apologize mama i respect you for that
0,another friday night with nothing to do ...boyfriend works until 1am
neutral,Got an email from @Unitedairlines telling me I could have got my monday flight to SFO cheaper &amp; Biz class if I had booked it tomorrow
0,This week has been so lonely without gossip girl xoxo
neutral,@bradiewebbstack umm ok you sound verry proud of yourselff bubb
neutral,@srhmae i think 30 bucks and i dunno
neutral,@PaulaAbdul ahh naa i dont like rain  nm really friend is comin over then goin 2 my grans
0,Hot showers make everything better  all i need is sumbody to tuck me in. . ugh miss my gramma
neutral,@Pyroezra i know hella  i wish i could be how my mom was and just move across the usa!
neutral,Spending way too long looking for a new desktop background
neutral,*yawn* i think imma go to bed. night guys
0,@MissCaseyB I know what you mean  rain sucks...
0,All the food in my house has sugar ants in it
neutral,"@thej If a Cong govt was ruling Karnataka, Cauvery wouldn't have found a mention  Truly, our politicians have no integrity."
0,"sigh.. stayed up late cause was on a role w/ assessment, now I'm so tired my eyes r stinging &amp; my head hurts.. &amp; I still need 500 words"
0,So now we'll pay more in sales tax...great.  Even worse Mom and Pop businesses have to double what they pay in business licenses.
neutral,@lisardggY Thanks for the info
neutral,@JaySkillz aww poor precious
neutral,Goodnight tweeps.
neutral,@MitchBenn OR... Something to do with all the Red Bull?  Hmmm. You think maybe?
neutral,My hair actually looks kinda fierce today. wth? Listening to U2 makes me happy
0,@Disney_Dreaming what?! miley's gonna quit hannah montana?...i don't wanna believe it!
0,@wersching and I have to wait till January. Life is not fair!
0,My daddy left to go back home to Texas  i will c him hopefully n the next two months
0,@windycitypretty that is sickening... Just shoot at will? Smh... Prayers for his family...
0,@Gjerninger Are you sure you want to know?  It's http://bit.ly/AUuAC - it makes me want to run. In other news: Happy Star Wars Day!
neutral,@mklujszo maybe used to have. Besides without AC it's too hot to sleep
neutral,"@nawty I've been well, thx. Just getting up for an early morning meeting and wondering why I agreed to it. Don't like getting up early"
neutral,@Flatmatescomic not good enough!
neutral,"Anton!Chekov has his own youtube?! Where have you been all my life?! Well, at least til I 1st saw ST XI a few wks ago, no recent updates"
neutral,@thegoodhuman
neutral,Im trying to make my MySpace look good. Check it in about 30 mins and leave me a comment
neutral,after 11 months....back to twitter again
0,i think i'm gay
0,@kmaco214 He's probably in bed...depends on what aide he has today.
neutral,i hate having the same hair for too long. i think i want super looong hair now
neutral,vuelven sunny day real estate? http://tinyurl.com/cqtynq
0,But i dont mind the long line when theres a super cutie in front of me. Too bad he's wearing a gay bracelet with a girls name on it
0,my favorite curling iron broke
neutral,"YAWN! Ow, caught a cramp  maybe I should take a nap"
neutral,@nomand Use Wordpress instead!
0,"@feliciaodg  it does but the screen is dark - so when i click it, i hang up on whoever im talking to"
neutral,"off to the gym, my PT is waiting to drill me again this week  Tjoe Tjoe"
neutral,voted for @taylorswift13 on CMT.com
0,"@Bellabellini - Yeah I know they are fuck annoying with that... But it,s such good promo... I lost some contacts for business in there"
0,My phone is so stubborn!! You'd think it had my genes or something!!
0,"Shower is taken. It is in the room right by the bed. Yeasterday we had the shower on the balcony, with sea wiew, that was a bit nicer"
neutral,My besties. If only @ddlovato was there.  on Twitpic: http://twitpic.com/67hac - My besties. If only @ddlovato .. http://twitpic.com/67hac
neutral,@hanastephenson I sent u a direct message.. there's my mail
0,@meeshel that sucks.   did you save any of it?
0,@Jennifalconer would like to swap...i'm sitting with 3 grumpies
neutral,@DutchReaganite So am I.
